SEA,LON,LAT,ID,CODE,도,분,도,분,LAT2,LON2,LAT2,LON2,LINE_CODE
JH,35˚0.88',128˚34.64',8,C,35,0.88,128,34.64,35.01466667,128.5773333,35.01466667,128.5773333,13
JH,35˚0.78',128˚34.64',9,C,35,0.78,128,34.64,35.013,128.5773333,35.013,128.5773333,13
JH,35˚0.67',128˚34.64',10,C,35,0.67,128,34.64,35.01116667,128.5773333,35.01116667,128.5773333,13
JH,35˚0.56',128˚34.64',11,C,35,0.56,128,34.64,35.00933333,128.5773333,35.00933333,128.5773333,13
JH,35˚0.45',128˚34.64',12,C,35,0.45,128,34.64,35.0075,128.5773333,35.0075,128.5773333,13
JH,35˚0.34',128˚34.64',13,C,35,0.34,128,34.64,35.00566667,128.5773333,35.00566667,128.5773333,13
JH,35˚0.24',128˚34.64',14,C,35,0.24,128,34.64,35.004,128.5773333,35.004,128.5773333,13
JH,35˚0.13',128˚34.64',15,C,35,0.13,128,34.64,35.00216667,128.5773333,35.00216667,128.5773333,13
JH,35˚1.64',128˚34.77',1,C,35,1.64,128,34.77,35.02733333,128.5795,35.02733333,128.5795,14
JH,35˚1.53',128˚34.77',2,C,35,1.53,128,34.77,35.0255,128.5795,35.0255,128.5795,14
JH,35˚1.42',128˚34.77',3,C,35,1.42,128,34.77,35.02366667,128.5795,35.02366667,128.5795,14
JH,35˚1.32',128˚34.77',4,C,35,1.32,128,34.77,35.022,128.5795,35.022,128.5795,14
JH,35˚1.21',128˚34.77',5,C,35,1.21,128,34.77,35.02016667,128.5795,35.02016667,128.5795,14
JH,35˚1.1',128˚34.77',6,C,35,1.1,128,34.77,35.01833333,128.5795,35.01833333,128.5795,14
JH,35˚0.99',128˚34.77',7,C,35,0.99,128,34.77,35.0165,128.5795,35.0165,128.5795,14
JH,35˚0.88',128˚34.77',8,C,35,0.88,128,34.77,35.01466667,128.5795,35.01466667,128.5795,14
JH,35˚0.78',128˚34.77',9,C,35,0.78,128,34.77,35.013,128.5795,35.013,128.5795,14
JH,35˚0.67',128˚34.77',10,C,35,0.67,128,34.77,35.01116667,128.5795,35.01116667,128.5795,14
JH,35˚0.56',128˚34.77',11,C,35,0.56,128,34.77,35.00933333,128.5795,35.00933333,128.5795,14
JH,35˚0.45',128˚34.77',12,C,35,0.45,128,34.77,35.0075,128.5795,35.0075,128.5795,14
